ID,ADDRESS,KOR,ROOT,TAIL,GLOSS,TRANS,ContKOR,RUS,WClass,COMMENT
1,15b 11,이러모로,i-le,mulwo=psey,INSTR,this way,,,N?,
2,15b 11,그,ku,,,that,,,DET,
3,15b 11,력예,lyek-toy,yey,LOC,past dynasties,,,N,歷代
4,15b 12,종요로온,cwong-wye-lwo-wo,n,PInd?,important,종요롭다,,P,
5,15b 12,의,uy,lul,ACC,meaning,,,N,義 > 义
6,15b 12,쳑야,chek-ho,ya,CV,gather?,,,P,摭
7,15b 13,자편에,cha-phyen,ey,LOC,?,,,N,
8,15b 13,쓰노라,ssu,nwo=la,DECL1sg?,write,,,P,
9,21b 1,대개,tay-kay,,,generally,,,ADV,
10,21b 1,태극이 ,thay-kuk,i,NOM,the Supreme Ultimate,,,N,太極
11,21b 1,비로소,pi-lwo-swo,,,for the first time,,,ADV,
12,21b 1,판야,koy-phan-ho,ya,CV,?,,,N,
13,21b 1,음과,um,kwa,COMI,yīn principle,,,N,陰 > 阴
14,21b 1,양이,yang,i,NOM,yáng principle,,,N,陽 > 阳
15,21b 2,비로소,pi-lwo-swo,nun,TOP,for the first time,,,ADV,
16,21b 2,호임로브터,ho,i=m=lwo=pu=the,?+NMLZ+INSTR+ABL,?,,,N,проверить кружок
17,21b 3,오이,wo-hoyng,i,NOM,Five Elements,,,N,五行
18,21b 4,서르,se-lu,,,each other,서로,,ADV,
19,21b 4,홈애,soyng-ho,wo=m=ay,VOL+NMLZ+LOC,?,,,N,生
21,21b 5,몬져,mwon-cye,,,first,,,PTCL,
22,21b 5,리와,li,wa,COMI,"reason, logic; manage?",,,N,理
23,21b 5,긔운이,kuy-wun,i,,qi energy,,,N,氣 > 气
24,21b 5,잇디라,is,nun=ti=la,CONC,?,,,P,
25,21b 5,사과 ,sa-lom,kwa,COMI,person,,,N,
26,21b 5,만믈의,man-mwul,uy,GEN,ten thousands things,,,N,
27,21b 6,남이,na,m=i,NMLZ+NOM,"grow, happen",,,P,
28,21b 6,림림며,lim-lim-ho,mye,COOR,*sound of water drops*,,,?,淋淋하다 (임림하다)
29,21b 6,총총더니,chwong-chwong-ho,te=ni,CONJ,hastily,,,P,
30,21b 7,이에,i-ey,,,hence,,,ADV,
31,21b 7,셩인,syeng-in,,,sage,,,N,聖셩人
32,21b 7,이읏듬으로,(i-)us-tu,m=u=wlo,NMLZ+NMLZ,the first,으뜸,,N,"возможно, нужно разбить"
33,21b 7,나샤,na,si=a,HonSUB+CV,happen,,,P,
34,21b 7,하을 ,ha-nol,ul,ACC,Heaven,,,N,
35,21b 8,니어,ni,e,,?,,,P,
