"Код","ADD","KOR","WClass","ОСНОВА","ХВОСТ","GLOSS","TRANS","RUS","ContKor","Поле1"
"67","15a15","그","PN","ku","","","that","","",""
"68","15a15","사의","N","sa-lom","uy","GEN","man","","",""
"69","15a16","실이","N","hing-sil","i","NOM","behavior","","",""
"70","15a16","어딜며","P","e-til","mye","CV","right","","",""
"71","15a16","어딜디","P","e-til","ti","NEG","right","","",""
"72","15a16","아니홈을","P","a-ni-hwo","m=ul","NMNZ-ACC","do not","","",""
"73","15a17","보고쟈","P","pwo","kwo-cya","???-???","consider","","",""
"74","15a17","딘대","P","ho","l-ti-ntay","COND","","","",""
"75","15a17","반시","ADV","pan-to-si","","","necessarily","","반드시",""
"76","15a17","몬져","ADV","mwon-cye","","","firstly","","",""
"77","15a17","그","PN","ku","","","that","","",""
"78","15a17","사의","N","sa-lom","uy","GEN","man","","",""
"79","15a18","효며","P","hyo-ho","mye","CV","filial","","",""
"80","15a18","효티","P","hyo","thi","NEG","filial","","",""
"81","15a18","아니홈을","P","a-ni-hwo","m=ul","NMNZ-ACC","do not","","",""
"82","15a18","볼거시니","P","pwo","l-ke=si=ni","PERF-HONSub-PARA","consider, and then","","",""
"83","15a18","가히","P","ka-hi","","","can","","개",""
"84","15a19","삼가디","P","sam-ka","ti","NEG","refrain","","",""
"85","15a19","아니며","P","ani","mye","CV","do not","","",""
"86","15a19","가히","P","ka-hi","","","can","","개",""
"87","15a19","두렵디","P","twu-lyep","ti","NEG","afraid","","",""
"88","15a19","아니랴","P","a-ni","lya","","do not","","",""
"89","15a19","진실로","ADV","cen-sil-lwo","","","indeed","","",""
"90","15a20","능히","ADV","nung-ho","i","ADV","easily","","",""
"91","15a20","그","PN","ku","","","that","","",""
"92","15a20","어버의게","N","e-pe","uy-key","DAT","parents","","",""
"93","15a20","효도면","P","hyo","two=ho=myen","PCL-do-COND","filial","","",""
"94","15a20","밀워","P","mi-lu","e","CV","put off","","",""
"96","15b1","님금과","N","nim-kum","kwa","COMI","ruler","","",""
"97","15b1","신하에와","N","sin-ha","ey=wa","DAT-COMI","minister","","",""
"98","15b1","지아비과","N","ci-a-pi","kwa","COMI","husband","","",""
"99","15b1","지어미에와","N","ci-a-mi","ey-wa","DAT-COMI","wife","","",""
"100","15b2","얼운과","N","el-wun","kwa","COMI","adult","","",""
"101","15b2","어린이에와","N","e-lin-i","ey-wa","DAT-COMI","child","","",""
"102","15b2","벗과","N","pes","kwa","COMI","friend","","",""
"103","15b2","벗애","N","pes","ay","GEN","friendship","","",""
"104","15b2","어듸가","","e-tuy-ka","","","does it true","","",""
"105","15b3","가티","P","ka","thi","NEG","should","","",""
"106","15b3","아니리오","P","a-ni-ho","li-wo","","do not","","",""
"107","15b3","그러면","","ku-le-myen","","","then","","",""
"108","15b3","효되","P","hyo","twoy","???","filial","","",""
"109","15b3","사의게","N","sa-lom","uy-key","DAT","man","","",""
"110","15b4","크되","N","khu-toy","","","great thing","","",""
"111","15b4","","ADV","","","","","","",""
"112","15b4","","P","ho","n","Pind","do","","",""
"113","15b4","놉고","P","nwop","kwo","COOR","high","","높다",""
"114","15b4","멀어","P","mel","e","CV","far","","",""
"115","15b4","기","P","hoyng-ho","ki","NMNZ","hold","","",""
"116","15b4","어려온","P","e-lye-wo","n","Pind","far","","",""
"117","15b5","일이","N","il","i","NOM","deed","","",""
"118","15b5","아니라","P","a-ni","la","DECL","do not","","",""
"119","15b5","그러나","","ku-le-na","","","but","","",""
"120","15b5","스스로","PN","swo-swo-lwo","","","itself","","",""
"121","15b5","나며","P","na","mye","CV","come out","","",""
"122","15b6","아이","P","al","non=i","NMNZ-NOM","know","","",""
"123","15b6","아니면","P","a-ni","myen","COND","do not","","",""
"124","15b6","반시","ADV","pan-to-si","","","necessarily","","",""
"126","15b6","학문에","N","hak-mwun","ey","by","study","","",""
"127","15b7","뢰야","P","co-lwoy-ho","ya","CV","good?","","",""
"128","15b7","알디니","P","al","ti=ni","NEG-IND","know","","",""
"129","15b7","학문엣","N","hak-mwun","eys","???","study","","",""
"130","15b7","도","N","two","non","TOP","way","","",""
"131","15b7","다","P","ta-lo","n","Pind","other","","",""
"132","15b7","거시","N","kes","i","NOM","thing","","",""
"133","15b8","업슨디라","P","eps","un=ti=la","Pind=???=DECL","absent","","",""
"134","15b8","쟝","N","cyang-chos","","","future","","",""
"135","15b8","녜와","N","nyey","wa","COMI","times?","","",""
"136","15b8","이제","N","i-cey","lul","ACC","present","","",""
"137","15b8","통며","P","tung-ho","mye","CV","run","","통하다",""
"138","15b9","리","N","so-li","lol","","","","",""
"139","15b9","차","","","","","penetrate","","꿰뚫다",""
"140","15b9","에","N","mo-om","ey","DAT","soul","","",""
"141","15b9","두며","","twu","mye","CV","set","","",""
"142","15b9","몸의","","mom","uy","GEN","body","","",""
