ADDRESS	KOR	WClass	ОСНОВА	ХВОСТ	GLOSS	TRANS	RUS	ContKOR	Comment
10b 1	벗과	N	pes	kwa	COMIT	friend			
10b 1	벗은	N	pes	un	TOP	friend			
10b 1		N	lyu	i	NOM	class			
10b 1		N	hon			one			
10b 1	가진	P	ka-ci	n	Pind	"type, kind"			
10b 1	사이라	N+COP			COP+DECL	man			
10b 1	유익이	P	yu-ik-ho	n=i	Pind-NOMZ+NOM	profitable			
10b 2	세	N	sey			three			
10b 2	가짓	N	ka-ci	s	ATTR	kind			
10b 2	벗이오	N	pes	i-wo	NOM+INTER	friend			
10b 2	손해이	P	swon-hay-ho	n-i	Pind+NOMZ	harmful			
10b 2	세	N	sey			three			
10b 2	가짓	N	ka-ci	s		kind			
10b 2	벗이니	N+COP	pes	i-ni	COP+PARA	friend			
10b 2	벗이	N	pes	i	NOM	friend			
10b 2	곳드며	P	kwos		COORD	upright		??곱다 good-natured	
10b 2	벗이 밋브며	N P	pes	i	NOM COORD	friend ; faithful		미쁘다	пропустила строчку(
10b 2	벗이 드른	N P	pes-i tu-ru	n	Pind	to hear			
10b 3	것	N	kes			??thing			?것이 많아면
10b 3	시만흐면	P	si-man-h	u-myen	COND				
10b 3	유익고	P	yu-ik-ho	kwo	COORD	"to be useful, profitable"			
10b 3	벗이	N	pes	i	NOM	friend			
10b 3	편벽며	P	phyen-pyek-ho	mye	COORD	"to be prejudiced, to be biased"			편벽위의 <11a>에 닉고 곳디 아니하말
11a  1	벗이	N	pes	i	NOM	friend			
11a  1	유홈을	P	yu-ho	wom-ul	NMNZ+ACC	to be gentle (fickle)			
11a  1	잘	ADV	cal			very			
11a  1	며	P	ho	mye	COORD	do			아접야 깃그게 홈애 공교롭고 브디 아니타말
11a  2	벗이	N	pes	i	NOM	friend			
11a  2	편녕면	P	phyen-nyeng-ho	mye	COORD	to flatter			"편녕입의
말기 닉고 듯고 본진 실홈이 업다말"
11a  3	손해리라	P	swon-hay-ho	li-la	PROB-DECL/QUOT	to harm			
11a  4	벗이란	N+COP	pes+i	la-n	DECL-PIND	friend			
11a  4	거	N	kes	on	TOP	thing			??것은
11a  4	그	DET	ku		DET	this			
11a  4	덕을	N	tek	ul	ACC	virtue			
11a  4	벗디라	P	pes-ho	non-ti-la	CONC	to be a friend			
11a  4	텬로브터	N	thyen-co	lwo-pu-the	INST	Son of Heaven			
11a  5	셔인에	N	sye-in	ey	LOC	peasant			뭇사
11a  5	니르히	P	ni-lu	hi	ADV	until			от какого глагола?
11a  5	벗을	N	pes	ul	ACC	friend			
11a  5	기려	N	ki-to	lye-pse	INST	to look forward		??기다리다	
11a  6	일우디	V	il-u	ti	NEG	to achieve		이루다	
11a  6	아닐이	N	a-nil	i	?NOMZ-FUT	to be not			
11a  6	잇디	P	is	ti	NEG	to be			
11a  6	아니니	P	a-ni-ho	ni	PARA		"?нет никого, кто не хотел бы друга (сказано)"		
11a  6	그	DET	ku		DET	this			
11a  7	분의	N	pun	uy	GEN	duty			
11a  7	소원	P	swo-wen	n	Pind	to be distant			
11a  7	호	P	tos	hwo-toy	QUOT	to appear			
11a  7	그	DET	ku		DET	this			
11a  7	관계	N	kwan-kyey			relationship			
11a  7		P	ho	n	Pind	to do			
11a  7	배	BN+COP	pa	y	NOM	fact	"такой факт, что"		bound none
11a  7	지극히	P	ci-kuk	hi	ADV	utmost			
11a  8	친홈이	N	chin-ho	wo=m=i	NOMZ-NOM	intimacy?			
11a  8	되니	P	twe	ni	PARA	??to be			
11a  8	이런고로	DET+N	i-ren-kwo	lo	INST	this reason			
11a  8	벗	N	pes			friend			
11a  8	홈을	P	chyu-i-ho	wo=m=ul	NMNZ	to overcome oneself			??取to overcome oneself
11a  8	반시	P	pan-do-s	i	ADV	certainly		??반드시	
11a  9	단졍	P	tan-cyeng-ho	n	Pind	"to be neat, upright"			
11a  9	사을	N	sa-lom	ul	ACC	man			
11a  9	며	V	ho	mye	COORD	to do			
11a  9	벗	N	pes			friend			
11a  9	사괴기	N	sa-kwa	ki	NMNZ	to befriend			
11a  9	믈	P	kol-hoi	m-ul	NMNZ=ACC	to be choosy? To distinguish?		??가리다	
11a  10	반시	P	pan-dos	i	ADV	???			
11a  10	몸에	N	mwom	ey	LOC	body			
11a  10	셔나은이를	P	sye	un-i=lul	Pind-NOMZ=ACC				
11a  10	디니	V	ho	l-ti-ni	SHOULD				
11a  11	대	N	tey-yo	i	NOM				
11a  11	맛당이	ADV	mas-tang-i			properly		?마땅히	
11a  11	어딘	P	e-ti	n	Pind	righteous		?어질다	
11a  11	거슬	N	kos	ul		thing			
11a  11	호	V	choik-hwo	toy	QUOT	to be responsible			
11a  11	밋브므로	N	mis-pu	m-u-lwo-pse	NMNZ-INST	to be faithful			
11a  12	며	P	ho	mye	COORD	to do			
11a  12	졀졀며	P	cyel-cyel-ho	mye	COORD	to be earnest			졀고지극다말
