ADDRESS	KOR	WClass	ОСНОВА	ХВОСТ	GLOSS	TRANS	RUS	ContKOR	Comment
24a 8	연옥에셔	N	yen-wok	ey-sye	LOC	prison			
24a 8	죽으니라	V	cwuk	u-ni-la	IND-DECL	to die			
23a 1	공의	N	kwong-co	uy	GEN	Confucius			
23a 1	손	N	swon-co			grandson			
23a 1		N	co-soi			Tzŭ-szŭ			
23a 1	이	DET	i		DET	this			
23a 1	예	N	stay	yey	LOC	place			
23a 1	나샤	P	na	sya					
23a 1	즁용을	N	cwung-yong	ul	ACC	Doctrine of the Mean	учение о Середине		
23a 2	지으시고	P	ci-u	si-kwo					
23a 2	그	DET	ku		DET	this			
23a 2	문인의	N	mwun-in	uy	GEN	disciple	последователь		hier 門人
23a 2	뎨	N	tyey-co			follower			
23a 2	개	N	moing-kay			Mencius			hier 孟 軻가ㅣ王왕道도를
23a 2	왕도를	N	wang-two	lul	ACC	the Way of the King			hier 王道
23a 3									
23a 3	졔와	N	cyey	wa	COMIT	Chi	Ци		
23a 3	량에	N	lyang	ey	LOC	Liang	Лян		
23a 3	베프샤	V	pey-phu	sya	HONSub+CV	to have mercy on??			
23a 3	되	N	two	i	NOM	way			
23a 3			stwo		ADV	again			
23a 3	티	P	haing	thi	NEG				
23a 3	못야	P	mos-ho	ya	CONV	to not be able			
23a 4									
23a 4		N	maing-co			Mencius			
23a 4	닐곱	N	nil-kwop			seven			
23a 4	편을	N	phyen	ul	ACC	chapter (volume)			
23a 4	지으시되								
23a 4	이단이며	N+COP	i-tan	i-mye	CONV	herecy			이단楊양朱쥬 악위며 ?윽?여은 아물오 랑 도류이며
23a 5	죵횡이며	N+COP	cyong-haing	i-mye	CONV	??rival political theories			죵횡공본 륙국 ?연약야 진? 니자 슐황은 륙국을단괸여?을 십기 슐이며
23a 6									
23a 7	공리의	N	kwong-li	uy	GEN	materialism			hier 功利| 공리병을 강?고 나라를 가음 열게다류의
23a 7	말이		mal	i	NOM	speech			
23a 8	셩히	ADV	syeng	hi	ADV	flourishing			
23a 8	디라	P	hoing-ho	nan-ti-la	CONC	to spread			
23a 8	우리	PN	u-ri			our			
23a 8	되	N	two	i	NOM	way			
23a 8	젼티	P	cyen	thi	NEG	to turn			
23a 8	못니라	P	mwos-ho	ni-la	IND + DECL	to not be able			
23a 9									
23a 9	진시황에	N	cin-si-hwang	ey	LOC	Ch’in-shih-huang			
23a 9	미처	ADV	mi-che			in time			
23a 9	두		twu			two			
23a 9	쥬	N	cyu	lol	ACC	Chou			쥬쥬말에 동셔 두쥬되니라
23a 10	키고		som-khi	kwo	COORD	"to annex, to subdue"			
23a 10	여		ye-sos			six			
23a 10	나라		na-la-ho	l		states			연한위초죠세
23a 10	멸며		myel-ho	mye		to wipe out			
23a 10	봉야		pwong-ho	ya		to set up / to grant			
23a 11									
23a 11	셰오믈	N	syey-wo-m	ul	NOMZ-ACC	feudal principalities			
23a 11	폐야	P	phey-ho	ya	CONVERB	to collapse			
23a 11	군과	N	kwun	kwa	COMIT	counties			
23a 11	현을	N	hyen	ul	ACC	prefectures			다고을이라
23a 12	삼으며	P	sam	u-mye	COORD	to make			
23a 12	시와	N	si	wa	COMIT	songs			hier 詩 poetry наверн песни конфуция
23a 12	셔를	N	sye	lul	ACC	books			
23a 12	불디르고	P	pul	ti-la=kwo	DECL-COORD	to burn			
23a 12	션	N	syen-poi	lol	ACC	Confucian scholars			
23a 12	뭇디르니	P	mwus	ti-lu-ni	IND	to supress			
23a 13									
23a 13	두	N	twu			two			
