"Код","ADDRESS","KOR","WClass","Основа","Аффиксы","Glosses","Перевод","перевод на другом языке","RandComms"
"1","14a","이","DET","i","","","this","",""
"2","14a","다","NUM","tasos","","","five","",""
"3","14a","가지","N","kaci","","","kind","",""
"4","14a","픔은","N","phum","um","TOP","attitude","","в 1797 품"
"5","14a","하이","N","hanol","i","NOM","heaven","",""
"6","14a","례","P","choli","yey","CV","set","차리다??","не понял форму"
"7","14a","","P","ho","n","PInd","do","",""
"8","14a","법뎐이오","N+COP","peptyen","wo","COOR","law","법전",""
"9","14a","사의","N","salom","uy","GEN","person","",""
"10","14a","도리예","N","twoli","yey","LOC","way","",""
"11","14a","본듸","P","pwo","ntuy","CONC","see (??)","",""
"12","14a","잇는","P","is","nu-n","PROC-PInd","exist","",""
"13","14a","배라","BN+COP","pa+y","la","","","",""
"14","14a","사의","N","salom","uy","GEN","human","",""
"15","14a","실이","N","hoyngsil","i","","behaviour","행실(?)",""
"16","14a","다","NUM","tasos","","","five","",""
"17","14a","가지예","N","kaci","yey","LOC","kind","",""
"18","14a","밧디","P","pas-ho","ti","NEG","take off (??)","벗다?????",""
"19","14a","아니되","P","ani-ho","twoy","CONC","be not","",""
"20","14a","오직","ADV","wocik","","","only","",""
"21","14a","","N","hywo","y","NOM","respect","",""
"22","14a","일","NUM","ilpoyk","","","one hundred","",""
"23","14a","실의","N","hoingsil","uy","GEN","labour","потерял((",""
"24","14a","근원이","N","kunwen","i","NOM","source","",""
"25","14a","된디라","P","twe","n-n-ontila","PInd-PROC-COND","become??","",""
"26","14a","이러모로","P","ilemwo","lwopse","INSTR","","??",""
"27","14a","효의","N","hywoco","uy","GEN","filial son","",""
"28","14a","어버이","N","epei","","","parents","",""
"29","14a","셤김은","P","syemki","m-un","NMNZ-TOP","serve","",""
"30","14a","이","N","tolk","i","NOM","chicken","",""
"31","14a","처음","ADV","cheum","","","firstly","",""
"32","14a","울거든","P","wul","ketun","","cry","",""
"33","14a","다","","ta","","","","",""
"34","14a","셰슈며","P","syeysyu-ho","mye","COOR","wash up","세수하다",""
"35","14a","양짓","N","yangci","s","SUBST","brushing teeth","양치",""
"36","14b","물고","P","mwul-ho","kwo","COOR","","",""
"37","14b","부모의","N","pwumwo","uy","","parents","",""
"38","14b","곳애","N","kwos","ay","LOC","place","",""
"39","14b","가","P","ka","","","go","",""
"40","14b","긔운을","N","kuywun","ul","ACC","energy","기운",""
"41","14b","기","ADV","nocoki","","","quietly","나직이",""
"42","14b","며","P","ho","mye","COOR","do","",""
"43","14b","소","N","swoloy","lol","ACC","voice","소리",""
"44","14b","화열이","N","hwayel","i","NOM","?","",""
"45","14b","야","P","ho","ya","CV","do","",""
"46","14b","옷시","N","wos","i","NOM","clothes","",""
